customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
3668-QPYBK,Male,0,0,0,2,1,1,53.85,108.15,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
9237-HQITU,Female,0,0,0,2,1,1,70.7,151.65,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
9305-CDSKC,Female,0,0,0,8,1,1,99.65,820.5,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
1452-KIOVK,Male,0,0,1,22,1,1,89.1,1949.4,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
6713-OKOMC,Female,0,0,0,10,0,0,29.75,301.9,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
7892-POOKP,Female,0,1,0,28,1,1,104.8,3046.05,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1
6388-TABGU,Male,0,0,1,62,1,0,56.15,3487.95,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
9763-GRSKD,Male,0,1,1,13,1,1,49.95,587.45,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
8091-TTVAX,Male,0,1,0,58,1,0,100.35,5681.1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0280-XJGEX,Male,0,0,0,49,1,1,103.7,5036.3,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1
5129-JLPIS,Male,0,0,0,25,1,1,105.5,2686.05,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
3655-SNQYZ,Female,0,1,1,69,1,0,113.25,7895.15,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
9959-WOFKT,Male,0,0,1,71,1,0,106.7,7382.25,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
4190-MFLUW,Female,0,1,1,10,1,0,55.2,528.35,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
4183-MYFRB,Female,0,0,0,21,1,1,90.05,1862.9,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
8779-QRDMV,Male,1,0,0,1,0,1,39.65,39.65,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
1680-VDCWW,Male,0,1,0,12,1,0,19.8,202.25,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
1066-JKSGK,Male,0,0,0,1,1,0,20.15,20.15,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
3638-WEABW,Female,0,1,0,58,1,1,59.9,3505.1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
6322-HRPFA,Male,0,1,1,49,1,0,59.6,2970.3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
5248-YGIJN,Male,0,1,0,72,1,1,90.25,6369.45,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
8773-HHUOZ,Female,0,0,1,17,1,1,64.7,1093.1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
4929-XIHVW,Male,1,1,0,2,1,1,95.5,181.65,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
6827-IEAUQ,Female,0,1,1,27,1,0,66.15,1874.45,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
7310-EGVHZ,Male,0,0,0,1,1,0,20.2,20.2,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
3413-BMNZE,Male,1,0,0,1,1,0,45.25,45.25,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
6234-RAAPL,Female,0,1,1,72,1,0,99.9,7251.7,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
6047-YHPVI,Male,0,0,0,5,1,1,69.7,316.9,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
5380-WJKOV,Male,0,0,0,34,1,1,106.35,3549.25,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
8168-UQWWF,Female,0,0,0,11,1,1,97.85,1105.4,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1
9489-DEDVP,Female,0,1,1,70,1,1,69.2,4872.35,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
9867-JCZSP,Female,0,1,1,17,1,0,20.75,418.25,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4671-VJLCL,Female,0,0,0,63,1,1,79.85,4861.45,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
4080-IIARD,Female,0,1,0,13,1,1,76.2,981.45,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
5948-UJZLF,Male,0,0,0,2,1,0,49.25,97,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
7639-LIAYI,Male,0,0,0,52,1,1,79.75,4217.8,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
2954-PIBKO,Female,0,1,1,69,1,1,64.15,4254.1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
6575-SUVOI,Female,1,1,0,25,1,1,69.5,1752.65,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
7495-OOKFY,Female,1,1,0,8,1,1,80.65,633.3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
1658-BYGOY,Male,1,0,0,18,1,1,95.45,1752.55,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
8769-KKTPH,Female,0,1,1,63,1,1,99.65,6311.2,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
5067-XJQFU,Male,1,1,1,66,1,1,108.45,7076.35,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
3957-SQXML,Female,0,1,1,34,1,0,24.95,894.3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
5954-BDFSG,Female,0,0,0,72,1,1,107.5,7853.7,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1215-FIGMP,Male,0,0,0,60,1,1,89.9,5450.7,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
0526-SXDJP,Male,0,1,0,72,0,0,42.1,2962,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
5698-BQJOH,Female,0,0,0,9,1,0,94.4,857.25,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
5122-CYFXA,Female,0,0,0,3,1,1,75.3,244.1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
8627-ZYGSZ,Male,0,1,0,47,1,1,78.9,3650.35,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2273-QCKXA,Male,0,0,0,1,1,0,49.05,49.05,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0731-EBJQB,Female,0,1,1,52,1,1,20.4,1090.65,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1891-QRQSA,Male,1,1,1,64,1,1,111.6,7099,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
8028-PNXHQ,Male,0,1,1,62,1,1,24.25,1424.6,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
2673-CXQEU,Female,1,0,0,56,1,0,110.5,6139.5,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
6416-JNVRK,Female,0,0,0,46,1,0,55.65,2688.85,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
5590-ZSKRV,Female,0,1,1,8,1,0,54.65,482.25,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0191-ZHSKZ,Male,1,0,0,30,1,1,74.75,2111.3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
5919-TMRGD,Female,0,0,1,1,1,1,79.35,79.35,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
8108-UXRQN,Female,0,1,1,11,0,0,50.55,565.35,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
9191-MYQKX,Female,0,1,0,7,1,1,75.15,496.9,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
9919-YLNNG,Female,0,0,0,42,1,1,103.8,4327.5,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0318-ZOPWS,Female,0,1,0,49,1,1,20.15,973.35,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
4808-YNLEU,Female,0,1,0,35,1,1,62.15,2215.45,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
1862-QRWPE,Female,0,1,1,48,1,0,20.65,1057,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
2796-NNUFI,Female,0,1,1,46,1,1,19.95,927.1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3016-KSVCP,Male,0,1,0,29,0,0,33.75,1009.25,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
4767-HZZHQ,Male,0,1,1,30,1,0,82.05,2570.2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2424-WVHPL,Male,1,0,0,1,1,0,74.7,74.7,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
7233-PAHHL,Male,0,1,1,66,1,1,84.0,5714.25,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
6067-NGCEU,Female,0,0,0,65,1,1,111.05,7107,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
9848-JQJTX,Male,0,0,0,72,1,1,100.9,7459.05,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
8637-XJIVR,Female,0,0,0,12,1,1,78.95,927.35,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
0278-YXOOG,Male,0,0,0,5,1,0,21.05,113.85,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
4598-XLKNJ,Female,1,1,0,25,1,1,98.5,2514.5,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
7123-WQUHX,Male,0,0,0,38,1,0,95.0,3605.6,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
5386-THSLQ,Female,1,1,0,66,0,0,45.55,3027.25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
3192-NQECA,Male,0,1,0,68,1,1,110.0,7611.85,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
6180-YBIQI,Male,0,0,0,5,0,0,24.3,100.2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
9750-BOOHV,Female,0,0,0,32,0,0,30.15,927.65,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
8597-CWYHH,Male,0,0,0,43,1,0,94.35,3921.3,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
2848-YXSMW,Male,0,1,1,72,1,0,19.4,1363.25,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
0486-HECZI,Male,0,1,0,55,1,1,96.75,5238.9,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
5712-AHQNN,Female,0,0,0,43,1,1,91.65,3954.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
4846-WHAFZ,Female,1,1,0,37,1,1,76.5,2868.15,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
5256-SKJGO,Female,0,1,1,64,0,1,54.6,3423.5,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3071-VBYPO,Male,0,1,1,3,1,0,89.85,248.4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
9560-BBZXK,Female,0,0,0,36,0,0,31.05,1126.35,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
5299-RULOA,Female,0,1,1,10,1,1,100.25,1064.65,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
8402-OOOHJ,Female,0,0,0,41,1,0,20.65,835.15,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
9445-ZUEQE,Male,0,1,1,27,1,1,85.2,2151.6,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1091-SOZGA,Female,0,1,1,56,1,1,99.8,5515.45,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
2928-HLDBA,Female,0,0,0,6,1,0,20.7,112.75,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0404-SWRVG,Male,0,0,0,3,1,1,74.4,229.55,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
