customerID,Churn
9866-QEVEE,No
0164-APGRB,Yes
4049-ZPALD,No
0685-MLYYM,No
4987-GQWPO,No
9959-WOFKT,No
9741-YLNTD,No
6921-OZMFH,Yes
8327-WKMIE,No
7247-XOZPB,No
5656-JAMLX,No
3199-XGZCY,No
2607-FBDFF,No
2737-YNGYW,Yes
3794-NFNCH,Yes
5293-WXJAK,No
4846-WHAFZ,Yes
7996-BPXHY,Yes
1832-PEUTS,Yes
5577-OTWWW,No
4816-OKWNX,No
0744-BIKKF,No
4324-AHJKS,No
3853-LYGAM,Yes
3181-VTHOE,No
0831-JNISG,No
5324-KTGCG,Yes
5195-KPUNQ,No
1536-YHDOE,No
0302-JOIVN,No
8676-TRMJS,Yes
2057-BOYKM,No
7963-GQRMY,Yes
3956-CJUST,No
8950-MTZNV,No
0423-UDIJQ,No
8631-XVRZL,No
9256-JTBNZ,No
2974-GGUXS,No
0118-JPNOY,No
4826-DXMUP,No
2824-DXNKN,No
7488-MXJIV,No
4425-OWHWB,No
9938-TKDGL,No
4086-ATNFV,Yes
3680-CTHUH,Yes
3712-PKXZA,No
0829-DDVLK,No
0121-SNYRK,Yes
0383-CLDDA,No
7623-TRNQN,Yes
0625-AFOHS,Yes
5310-NOOVA,Yes
9402-ROUMJ,No
4918-QLLIW,No
5193-QLVZB,No
1498-DQNRX,No
7190-XHTWJ,No
9220-CXRSC,No
4250-FDVOU,No
6772-WFQRD,No
3623-FQBOX,No
3197-ARFOY,No
9576-SYUHJ,Yes
4228-ZGYUW,No
8167-GJLRN,Yes
3099-OONVS,No
8868-GAGIO,No
6559-RAKOZ,No
0263-FJTQO,No
2189-UXTKY,No
4636-JGAAI,Yes
3254-YRILK,Yes
2984-TBYKU,No
3717-LNXKW,No
4118-CEVPF,Yes
7030-NJVDP,Yes
2320-TZRRH,Yes
0537-QYZZN,No
4737-HOBAX,No
4716-MRVEN,Yes
3705-PSNGL,Yes
1174-FGIFN,No
7854-EDSSA,No
7197-VOJMM,Yes
7598-UAASY,Yes
3933-DQPWX,No
4301-VVZKA,Yes
0679-IDSTG,No
8740-XLHDR,No
4827-USJHP,No
8380-PEFPE,No
4145-UQXUQ,No
7654-YWJUF,No
3733-LSYCE,No
6807-SIWJI,Yes
7636-OWBPG,Yes
1522-VVDMG,No
4397-FRLTA,No
0899-WZRSD,No
7945-HLKEA,Yes
7206-GZCDC,No
5318-YKDPV,Yes
9143-CANJF,Yes
6771-XWBDM,Yes
6671-NGWON,No
7010-ZMVBF,Yes
2034-CGRHZ,Yes
8106-GWQOK,No
6281-FKEWS,No
7369-TRPFD,Yes
2581-VKIRT,No
7941-RCJOW,No
6038-GCYEC,No
3870-MQAMG,No
8404-FYDIB,No
0247-SLUJI,No
5456-ITGIC,No
2862-JVEOY,No
7951-VRDVK,Yes
4135-FRWKJ,No
6851-WEFYX,No
6233-HXJMX,No
0562-FGDCR,No
0404-AHASP,No
5451-MHQOF,No
8219-VYBVI,No
3255-GRXMG,No
0691-JVSYA,No
8849-PRIQJ,No
7065-YUNRY,No
2788-CJQAQ,No
8314-HTWVE,Yes
6341-JVQGF,No
5850-BDWCY,No
5842-POCOP,No
8016-ZMGMO,No
5686-CMAWK,Yes
2077-DDHJK,No
9917-KWRBE,No
6778-EICRF,Yes
3323-CPBWR,No
5709-LVOEQ,Yes
8944-AILEF,No
0877-SDMBN,No
6196-HBOBZ,No
5598-IKHQQ,No
7695-PKLCZ,No
8945-GRKHX,No
6217-KDYWC,No
3774-VBNXY,No
2187-LZGPL,No
1444-VVSGW,No
7511-YMXVQ,No
3224-DFQNQ,Yes
0774-IFUVM,Yes
4903-UYAVB,No
4632-PAOYU,Yes
7766-CLTIC,No
6859-RKMZJ,No
5840-NVDCG,No
0746-JTRFU,No
1567-DSCIC,No
1597-FZREH,No
0516-WJVXC,Yes
5949-EBSQK,Yes
2357-COQEK,No
3587-PMCOY,No
8063-RJYNF,No
6996-KNSML,No
5160-UXJED,No
6645-MXQJT,Yes
3714-XPXBW,No
6702-OHFWR,No
9895-VFOXH,No
6734-CKRSM,No
3278-FSIXX,No
7396-VJUZB,No
7657-DYEPJ,Yes
4443-EMBNA,No
7080-TNUWP,No
0244-LGNFY,No
2907-ILJBN,No
1728-BQDMA,No
5808-TOTXO,No
5397-NSKQG,No
9763-PDTKK,No
7973-DZRKH,Yes
6907-CQGPN,No
3926-YZVVX,No
2911-WDXMV,No
8631-WUXGY,No
3146-JTQHR,No
6854-EXGSF,Yes
3338-CVVEH,No
7568-PODML,No
5774-QPLTF,No
9350-ZXYJC,No
1414-YADCW,No
1450-GALXR,No
1423-BMPBQ,Yes
3620-EHIMZ,No
8128-YVJRG,No
8107-KNCIM,No
6234-RAAPL,Yes
2404-JIBFC,No
2260-USTRB,No
9921-QFQUL,Yes
8580-AECUZ,Yes
2252-ISRNH,No
2091-MJTFX,No
5140-FOMCQ,Yes
0431-APWVY,No
0282-NVSJS,No
8332-OSJDW,No
2451-YMUXS,No
1335-NTIUC,Yes
4521-WFJAI,No
7669-LCRSD,No
6663-JOCQO,No
6847-KJLTS,No
5889-JTMUL,Yes
9867-JCZSP,No
5172-MIGPM,No
0366-NQSHS,No
4439-YRNVD,No
8218-FFJDS,No
9189-JWSHV,No
9253-VIFJQ,Yes
4369-NYSCF,No
1494-EJZDW,No
6022-KOUQO,No
5399-ZIMKF,Yes
4256-ZWTZI,No
2761-XECQW,No
8184-WMOFI,No
9462-MJUAW,No
6521-YYTYI,No
7839-QRKXN,No
7734-DBOAI,No
3417-TSCIC,No
1548-ARAGG,Yes
1301-LOPVR,No
4818-DRBQT,No
6481-OGDOO,Yes
9327-QSDED,No
2139-FQHLM,No
8215-NGSPE,Yes
5756-OZRIO,No
9512-PHSMG,No
6904-JLBGY,No
5067-WJEUN,No
6000-APYLU,No
1685-VAYJF,Yes
3530-CRZSB,Yes
5216-WASFJ,Yes
2988-PLAHS,Yes
2660-EMUBI,No
4827-LTQRJ,No
7853-WNZSY,No
9426-SXNHE,No
7483-IQWIB,Yes
0988-JRWWP,Yes
8938-UMKPI,No
5647-FXOTP,Yes
6317-YPKDH,No
2398-YPMUR,No
4697-LUPSU,No
1602-IJQQE,No
0567-GGCAC,No
3594-UVONA,No
5832-EXGTT,No
7153-CHRBV,Yes
8433-WXGNA,No
5998-VVEJY,No
8092-NLTGF,Yes
3999-WRNGR,No
1624-WOIWJ,No
9150-KPBJQ,Yes
9912-GVSEQ,No
0330-IVZHA,Yes
2706-QZIHY,No
8873-GLDMH,No
9711-FJTBX,Yes
8387-UGUSU,No
1813-JLKWR,Yes
2027-WKXMW,No
8173-RXAYP,No
5248-RPYWW,No
3714-JTVOV,No
4778-IZARL,Yes
8882-TLVRW,Yes
4892-VLANZ,No
1989-PRJHP,No
8718-PTMEZ,No
0380-ZCSBI,Yes
6923-EFPNL,No
2833-SLKDQ,No
3948-XHGNA,No
3373-DIUUN,Yes
6122-LJADA,No
0303-UNCIP,No
8398-TBIYD,No
8874-EJNSR,No
2267-WTPYD,No
7402-EYFXX,No
0733-VUNUW,Yes
7554-NEWDD,Yes
3621-CEOVK,Yes
0619-OLYUR,No
4797-AXPXK,No
2530-ENDWQ,Yes
8400-WZICQ,No
7426-WEIJX,No
1240-HCBOH,No
9334-GWGOW,No
8007-YYPWD,No
3410-MHHUM,No
4667-QONEA,No
3521-SYVOR,No
9774-NRNAU,No
3391-JSQEW,No
5730-RIITO,No
1134-YWTYF,No
2792-VPPET,No
8393-DLHGA,No
6416-TVAIH,No
2279-AXJJK,Yes
6437-UDQJM,No
5183-SNMJQ,No
7439-DKZTW,No
9367-OIUXP,No
3638-VBZTA,No
3043-TYBNO,Yes
2027-CWDNU,No
0080-OROZO,Yes
9537-VHDTA,Yes
0067-DKWBL,No
3407-JMJQQ,No
8713-IGZSO,Yes
2516-XSJKX,No
8262-COGGB,Yes
7781-HVGMK,No
2157-MXBJS,No
0549-CYCQN,No
6275-YDUVO,Yes
7245-NIIWQ,No
2146-EGVDT,Yes
4182-BGSIQ,No
4698-KVLLG,No
5394-SVGJV,No
2384-OVPSA,No
6688-UZPWD,No
9558-IHEZX,No
2249-YPRNG,No
3740-RLMVT,Yes
2466-NEJOJ,No
8878-RYUKI,No
8975-SKGRX,No
7743-EXURX,No
0708-LGSMF,No
3705-RHRFR,No
3763-GCZHZ,Yes
3627-FHKBK,No
3588-WSTTJ,Yes
1167-OYZJF,No
4342-HFXWS,Yes
4452-ROHMO,No
9496-IVVRP,No
7730-IUTDZ,Yes
7596-IIWYC,No
6711-VTNRE,No
5371-VYLSX,No
4119-ZYPZY,Yes
1063-DHQJF,Yes
4939-KYYPY,No
7005-CCBKV,No
1345-GKDZZ,No
2277-BKJKN,No
6369-MCAKO,No
2338-BQEZT,Yes
3976-BWUCK,No
4065-JJAVA,No
5605-XNWEN,No
9931-DCEZH,Yes
2954-PIBKO,No
4745-LSPLO,No
7016-BPGEU,No
5882-CMAZQ,No
3640-PHQXK,No
0103-CSITQ,No
9972-EWRJS,Yes
3132-TVFDZ,No
0854-UYHZD,No
1810-BOHSY,No
2194-IIQOF,No
7878-JGDKK,No
1335-HQMKX,No
4201-JMNGR,No
9987-LUTYD,No
4707-YNOQA,No
4813-HQMGZ,Yes
2402-TAIRZ,Yes
2378-YIZKA,Yes
7508-SMHXL,No
0607-DAAHE,No
0447-RXSGD,No
7137-RYLPP,Yes
0947-MUGVO,No
9964-WBQDJ,No
4903-CNOZC,No
0032-PGELS,No
9127-FHJBZ,No
5122-CYFXA,Yes
3566-CAAYU,Yes
0485-ZBSLN,No
7083-YNSKY,No
8679-JOEVF,Yes
1784-BXEFA,Yes
7399-QHBJS,Yes
5146-CBVOE,No
7758-XKCBS,No
2898-MRKPI,No
6933-VLYFX,Yes
1563-IWQEX,No
8174-LNWMW,No
8802-UNOJF,Yes
0743-HRVFF,No
0997-YTLNY,No
4143-OOBWZ,No
2133-TSRRM,No
2560-QTSBS,Yes
4376-KFVRS,No
7470-DYNOE,No
5973-EJGDP,No
6786-OBWQR,No
4010-YLMVT,No
2176-OSJUV,Yes
2303-PJYHN,No
2569-WGERO,No
1596-OQSPS,No
6015-VVHHE,No
1080-BWSYE,Yes
9509-MPYOD,No
5118-MUEYH,Yes
1455-ESIQH,No
8778-LMWTJ,No
9055-MOJJJ,No
4223-WOZCM,No
5108-ADXWO,No
7621-VPNET,No
3807-BPOMJ,No
4581-SSPWD,No
4316-XCSLJ,No
0235-KGSLC,No
0674-EYYZV,Yes
6248-TKCQV,No
6651-RLGGM,No
6242-MBHPK,No
4174-LPGTI,No
4827-DPADN,Yes
8749-JMNKX,No
5349-IECLD,Yes
6199-IWKGC,No
0804-XBFBV,Yes
4480-MBMLB,No
9170-ARBTB,No
1980-KXVPM,Yes
2476-YGEFM,Yes
7306-YDSOI,No
9337-SRRNI,No
9795-VOWON,No
9488-HGMJH,No
1025-FALIX,No
5215-LNLDJ,No
7182-OVLBJ,Yes
0098-BOWSO,No
3648-GZPHF,Yes
2832-KJCRD,No
8571-ZCMCX,No
3318-OSATS,No
6946-LMSQS,No
5494-HECPR,No
7649-PHJVR,No
5298-GSTLM,No
1047-NNCBF,No
3372-CDXFJ,No
7103-IPXPJ,No
6683-VLCTZ,No
4500-HKANN,No
4291-SHSBH,No
2519-TWKFS,No
0811-GSDTP,No
2373-NTKOD,No
3091-FYHKI,No
8591-TKMZH,Yes
0661-XEYAN,No
4355-CVPVS,No
3841-CONLJ,Yes
6598-KELSS,No
7729-XBTWX,No
6278-FEPBZ,Yes
4749-OJKQU,Yes
7036-TYDEC,No
0916-QOFDP,No
7460-ITWWP,No
9092-GDZKO,No
0141-YEAYS,Yes
5057-LCOUI,No
4633-MKHYU,No
6922-NCEDI,No
4710-FDUIZ,No
5734-EJKXG,No
5816-SCGFC,No
0727-BMPLR,No
1791-PQHBB,Yes
6032-KRXXO,No
0756-MPZRL,No
4957-TIALW,No
4291-TPNFG,Yes
3945-GFWQL,No
0487-CRLZF,No
0576-WNXXC,No
6419-ZTTLE,No
3923-CSIHK,Yes
9381-NDKME,No
6857-TKDJV,Yes
7601-GNDYK,No
8875-AKBYH,No
5018-GWURO,Yes
1559-DTODC,No
8982-NHAVY,No
8046-DNVTL,No
5275-SQEIZ,No
3746-EUBYR,No
9648-BCHKM,No
2665-NPTGL,No
4111-BNXIF,No
4312-KFRXN,No
0634-SZPQA,No
7319-VENRZ,No
3177-LASXD,No
2074-GKOWZ,Yes
8859-YSTWS,No
3977-QCRSL,No
0057-QBUQH,No
3312-UUMZW,No
0722-TROQR,No
9339-FIIJL,Yes
6840-RESVB,No
5312-TSZVC,No
1376-HHBDV,No
8164-OCKUJ,No
0345-XMMUG,Yes
8868-WOZGU,No
3190-FZATL,Yes
4250-ZBWLV,No
1455-HFBXA,Yes
4441-NIHPT,No
3397-AVTKU,No
3352-ALMCK,Yes
9919-YLNNG,No
