Date,China,France,Germany,Italy,Portugal,Spain,UK,US,China_REL,France_REL,Germany_REL,Italy_REL,Portugal_REL,Spain_REL,UK_REL,US_REL,China_ult7,France_ult7,Germany_ult7,Italy_ult7,Portugal_ult7,Spain_ult7,UK_ult7,US_ult7,China_REL_ult7,France_REL_ult7,Germany_REL_ult7,Italy_REL_ult7,Portugal_REL_ult7,Spain_REL_ult7,UK_REL_ult7,US_REL_ult7
2020-01-22,548,0,0,0,0,0,0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2020-01-23,643,0,0,0,0,0,0,1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2020-01-24,920,2,0,0,0,0,0,2,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2020-01-25,1406,3,0,0,0,0,0,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2020-01-26,2075,3,0,0,0,0,0,5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2020-01-27,2877,3,1,0,0,0,0,5,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2020-01-28,5509,4,4,0,0,0,0,5,0.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2020-01-29,6087,5,4,0,0,0,0,6,0.44,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5539.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,0.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,8141,5,4,0,0,0,0,6,0.58,0.01,0.0,0.0,0.0,0.0,0.0,0.0,7498.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,0.5299999999999999,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,9802,5,5,2,0,0,2,8,0.7,0.01,0.01,0.0,0.0,0.0,0.0,0.0,8882.0,3.0,5.0,2.0,0.0,0.0,2.0,6.0,0.6299999999999999,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2020-02-01,11891,6,8,2,0,1,2,8,0.85,0.01,0.01,0.0,0.0,0.0,0.0,0.0,10485.0,3.0,8.0,2.0,0.0,1.0,2.0,6.0,0.75,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2020-02-02,16630,6,10,2,0,1,2,8,1.19,0.01,0.01,0.0,0.0,0.0,0.0,0.0,14555.0,3.0,10.0,2.0,0.0,1.0,2.0,3.0,1.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2020-02-03,19716,6,12,2,0,1,8,11,1.42,0.01,0.01,0.0,0.0,0.0,0.01,0.0,16839.0,3.0,11.0,2.0,0.0,1.0,8.0,6.0,1.21,0.01,0.01,0.0,0.0,0.0,0.01,0.0
2020-02-04,23707,6,12,2,0,1,8,11,1.7,0.01,0.01,0.0,0.0,0.0,0.01,0.0,18198.0,2.0,8.0,2.0,0.0,1.0,8.0,6.0,1.2999999999999998,0.0,0.01,0.0,0.0,0.0,0.01,0.0
2020-02-05,27440,6,12,2,0,1,9,11,1.97,0.01,0.01,0.0,0.0,0.0,0.01,0.0,21353.0,1.0,8.0,2.0,0.0,1.0,9.0,5.0,1.53,0.0,0.01,0.0,0.0,0.0,0.01,0.0
2020-02-06,30587,6,12,2,0,1,9,12,2.2,0.01,0.01,0.0,0.0,0.0,0.01,0.0,22446.0,1.0,8.0,2.0,0.0,1.0,9.0,6.0,1.62,0.0,0.01,0.0,0.0,0.0,0.01,0.0
2020-02-07,34110,6,13,3,0,1,9,12,2.45,0.01,0.02,0.0,0.0,0.0,0.01,0.0,24308.0,1.0,8.0,1.0,0.0,1.0,7.0,4.0,1.7500000000000002,0.0,0.01,0.0,0.0,0.0,0.01,0.0
2020-02-08,36814,11,13,3,0,1,13,12,2.64,0.02,0.02,0.0,0.0,0.0,0.02,0.0,24923.0,5.0,5.0,1.0,0.0,0.0,11.0,4.0,1.79,0.01,0.01,0.0,0.0,0.0,0.02,0.0
