Survived,Pclass,Sex,SibSp,Parch,Fare,Age,Embarked_C,Embarked_Q,Embarked_S
0,3,1,1,0,7.25,22.0,0,0,1
1,1,0,1,0,71.2833,38.0,1,0,0
1,3,0,0,0,7.925,26.0,0,0,1
1,1,0,1,0,53.1,35.0,0,0,1
0,3,1,0,0,8.05,35.0,0,0,1
0,3,1,0,0,8.4583,30.0,0,1,0
0,1,1,0,0,51.8625,54.0,0,0,1
0,3,1,3,1,21.075,2.0,0,0,1
1,3,0,0,2,11.1333,27.0,0,0,1
1,2,0,1,0,30.0708,14.0,1,0,0
1,3,0,1,1,16.7,4.0,0,0,1
1,1,0,0,0,26.55,58.0,0,0,1
0,3,1,0,0,8.05,20.0,0,0,1
0,3,1,1,5,31.275,39.0,0,0,1
0,3,0,0,0,7.8542,14.0,0,0,1
1,2,0,0,0,16.0,55.0,0,0,1
0,3,1,4,1,29.125,2.0,0,1,0
1,2,1,0,0,13.0,30.0,0,0,1
0,3,0,1,0,18.0,31.0,0,0,1
1,3,0,0,0,7.225,35.0,1,0,0
0,2,1,0,0,26.0,35.0,0,0,1
1,2,1,0,0,13.0,34.0,0,0,1
1,3,0,0,0,8.0292,15.0,0,1,0
1,1,1,0,0,35.5,28.0,0,0,1
0,3,0,3,1,21.075,8.0,0,0,1
1,3,0,1,5,31.3875,38.0,0,0,1
0,3,1,0,0,7.225,30.0,1,0,0
0,1,1,3,2,263.0,19.0,0,0,1
1,3,0,0,0,7.8792,21.0,0,1,0
0,3,1,0,0,7.8958,30.0,0,0,1
0,1,1,0,0,27.7208,40.0,1,0,0
1,1,0,1,0,146.5208,35.0,1,0,0
1,3,0,0,0,7.75,21.0,0,1,0
0,2,1,0,0,10.5,66.0,0,0,1
0,1,1,1,0,82.1708,28.0,1,0,0
0,1,1,1,0,52.0,42.0,0,0,1
1,3,1,0,0,7.2292,30.0,1,0,0
0,3,1,0,0,8.05,21.0,0,0,1
0,3,0,2,0,18.0,18.0,0,0,1
1,3,0,1,0,11.2417,14.0,1,0,0
0,3,0,1,0,9.475,40.0,0,0,1
0,2,0,1,0,21.0,27.0,0,0,1
0,3,1,0,0,7.8958,30.0,1,0,0
1,2,0,1,2,41.5792,3.0,1,0,0
1,3,0,0,0,7.8792,19.0,0,1,0
0,3,1,0,0,8.05,30.0,0,0,1
0,3,1,1,0,15.5,30.0,0,1,0
1,3,0,0,0,7.75,21.0,0,1,0
0,3,1,2,0,21.6792,30.0,1,0,0
0,3,0,1,0,17.8,18.0,0,0,1
0,3,1,4,1,39.6875,7.0,0,0,1
0,3,1,0,0,7.8,21.0,0,0,1
1,1,0,1,0,76.7292,49.0,1,0,0
1,2,0,1,0,26.0,29.0,0,0,1
0,1,1,0,1,61.9792,65.0,1,0,0
1,1,1,0,0,35.5,30.0,0,0,1
1,2,0,0,0,10.5,21.0,0,0,1
0,3,1,0,0,7.2292,28.5,1,0,0
1,2,0,1,2,27.75,5.0,0,0,1
0,3,1,5,2,46.9,11.0,0,0,1
0,3,1,0,0,7.2292,22.0,1,0,0
